E,J,e/f,State,v,Lambda,Sigma,L
44654.378695,9.5,f,2,4,0,0.5,8.0
44661.661751,9.5,f,2,5,0,0.5,8.0
46716.744148,9.5,f,2,6,0,0.5,8.0
48508.169483,9.5,f,2,7,0,0.5,8.0
49973.904364,9.5,f,2,8,0,0.5,8.0
36865.130278,9.5,e,2,1,0,-0.5,8.0
39582.496062,9.5,e,2,2,0,-0.5,8.0
42097.492424,9.5,e,2,3,0,-0.5,8.0
44401.292435,9.5,e,2,4,0,-0.5,8.0
46472.489513,9.5,e,2,5,0,-0.5,8.0
48292.348442,9.5,e,2,6,0,-0.5,8.0
49790.587328,9.5,e,2,7,0,-0.5,8.0
50891.706841,9.5,e,2,8,0,-0.5,8.0
37179.691918,10.5,e,2,1,0,0.5,8.0
39880.196412,10.5,e,2,2,0,0.5,8.0
42377.537599,10.5,e,2,3,0,0.5,8.0
44654.677845,10.5,e,2,4,0,0.5,8.0
44663.646956,10.5,e,2,5,0,0.5,8.0
46718.366568,10.5,e,2,6,0,0.5,8.0
48509.656153,10.5,e,2,7,0,0.5,8.0
49989.473713,10.5,e,2,8,0,0.5,8.0
37521.450574,10.5,f,2,1,0,-0.5,8.0
40203.491764,10.5,f,2,2,0,-0.5,8.0
42681.970715,10.5,f,2,3,0,-0.5,8.0
44946.785511,10.5,f,2,4,0,-0.5,8.0
46973.385077,10.5,f,2,5,0,-0.5,8.0
46980.754552,10.5,f,2,6,0,-0.5,8.0
48747.446112,10.5,f,2,7,0,-0.5,8.0
50181.228808,10.5,f,2,8,0,-0.5,8.0
37894.466087,11.5,f,2,1,0,0.5,8.0
40556.25406,11.5,f,2,2,0,0.5,8.0
43013.759487,11.5,f,2,3,0,0.5,8.0
45256.94974,11.5,f,2,4,0,0.5,8.0
47264.668829,11.5,f,2,5,0,0.5,8.0
49000.78726,11.5,f,2,6,0,0.5,8.0
50397.974112,11.5,f,2,7,0,0.5,8.0
37523.840376,11.5,e,2,1,0,-0.5,8.0
40205.777865,11.5,e,2,2,0,-0.5,8.0
42684.123091,11.5,e,2,3,0,-0.5,8.0
44948.855324,11.5,e,2,4,0,-0.5,8.0
46971.882132,11.5,e,2,5,0,-0.5,8.0
46985.125902,11.5,e,2,6,0,-0.5,8.0
48748.038826,11.5,e,2,7,0,-0.5,8.0
50182.672892,11.5,e,2,8,0,-0.5,8.0
37897.052064,12.5,e,2,1,0,0.5,8.0
40558.725979,12.5,e,2,2,0,0.5,8.0
43016.094615,12.5,e,2,3,0,0.5,8.0
45258.884483,12.5,e,2,4,0,0.5,8.0
47266.663774,12.5,e,2,5,0,0.5,8.0
49002.516339,12.5,e,2,6,0,0.5,8.0
50399.508951,12.5,e,2,7,0,0.5,8.0
38295.979687,12.5,f,2,1,0,-0.5,8.0
40935.803845,12.5,f,2,2,0,-0.5,8.0
43370.559371,12.5,f,2,3,0,-0.5,8.0
45589.537202,12.5,f,2,4,0,-0.5,8.0
47556.954282,12.5,f,2,5,0,-0.5,8.0
47575.452507,12.5,f,2,6,0,-0.5,8.0
49271.802405,12.5,f,2,7,0,-0.5,8.0
35911.715402,13.5,f,2,0,0,0.5,8.0
38725.379787,13.5,f,2,1,0,0.5,8.0
